row_id,condition,cond_row_id,matrix,base_idx,param_j,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,i_mobile,v_mobile,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,loop_net_K_rec,loop_net_w_c,E_a0_conv,dH2_conv,phi_max_junc,loop_net_chi,dH2_abs_conv
0,N2,0,A,0,-1,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
1,N2,1,B,0,-1,0.25644539659868365,0.11060584336519241,0.24907418787479402,0.35900993521554836,0.68565540682506998,0.061992429127784882,354.34195149399704,42,4,2.2308034759817987,0.25382247979694933,0.64225288622842547,0.35310280115876336,0.6906345781948533,2.5724722683686672,1.0670478071738034,1.091741322958842,1.3148680251310148e-05,13.758470459285473,1.6438459360389148,0.41108102232479604,0.65110454615205526,3.5068380169576772,0.20307322577573358
2,N2,2,AB,0,0,0.25644539659868365,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
3,N2,3,AB,0,1,0.34799080811083904,0.11060584336519241,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
4,N2,4,AB,0,2,0.34799080811083904,0.18713280558586121,0.24907418787479402,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
5,N2,5,AB,0,3,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35900993521554836,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
6,N2,6,AB,0,4,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.68565540682506998,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
7,N2,7,AB,0,5,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.061992429127784882,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
8,N2,8,AB,0,6,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,354.34195149399704,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
9,N2,9,AB,0,7,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,42,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
10,N2,10,AB,0,8,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,1.9224787643156673,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
11,N2,11,AB,0,9,0.34799080811083904,0.18713280558586121,0.64467932032421227,0.35411620526831172,0.7313554385490334,0.064716537942105995,15.284174588861873,38,4,2.2308034759817987,0.31867636428431678,0.66648613507075782,0.46117736540919052,0.75481072385824155,2.0400484081079724,1.077523641679436,1.1348809508606792,2.205422230791195e-05,99.315592661185903,1.5753681697612401,0.41659401403450674,0.79669172586873171,1.1725685498182401,0.44528330806642769
