row_id,condition,cond_row_id,matrix,base_idx,param_j,f_cl_i,f_cl_v,E_m_v,L_hat,gamma_s,loop_net_K_rec,loop_net_w_c,loop_net_chi
0,I300,0,A,0,-1,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
1,I300,1,B,0,-1,0.172529467754066,0.34661862747743721,0.8877368906308688,1019.4015737101546,2.0814753001634116,4.0047650127607303e-06,3.5472213424367389,6.1208727253197015
2,I300,2,AB,0,0,0.172529467754066,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
3,I300,3,AB,0,1,0.24798787254840138,0.34661862747743721,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
4,I300,4,AB,0,2,0.24798787254840138,0.54283201396465297,0.8877368906308688,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
5,I300,5,AB,0,3,0.24798787254840138,0.54283201396465297,0.82689411287868297,1019.4015737101546,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
6,I300,6,AB,0,4,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0814753001634116,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
7,I300,7,AB,0,5,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,4.0047650127607303e-06,3.0975606392082473,4.7265964700643002
8,I300,8,AB,0,6,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.5472213424367389,4.7265964700643002
9,I300,9,AB,0,7,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,6.1208727253197015
10,I300,10,A,1,-1,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
11,I300,11,B,1,-1,0.14723495263606312,0.54322394011542197,0.66877196869399602,93.904761597252858,1.9075549353930568,0.00018336796111316094,139.15140031116817,16.60734732884837
12,I300,12,AB,1,0,0.14723495263606312,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
13,I300,13,AB,1,1,0.12183636631816626,0.54322394011542197,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
14,I300,14,AB,1,2,0.12183636631816626,0.40442409114912148,0.66877196869399602,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
15,I300,15,AB,1,3,0.12183636631816626,0.40442409114912148,0.64032140063344445,93.904761597252858,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
16,I300,16,AB,1,4,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.9075549353930568,0.00014989658302058459,129.84725911474825,43.328901173379599
17,I300,17,AB,1,5,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00018336796111316094,129.84725911474825,43.328901173379599
18,I300,18,AB,1,6,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,139.15140031116817,43.328901173379599
19,I300,19,AB,1,7,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,16.60734732884837
20,I300,20,A,2,-1,0.053052818775177008,0.67880855808034535,0.74551762478727079,6.3947488043803249,1.9762225588086979,0.004553971044956146,4.3641036660564358,21.325574542231237
21,I300,21,B,2,-1,0.087503995373845109,0.69036071961745615,0.55198049421581818,16.400325001192666,2.2575810426051577,7.6762062080087918e-05,45.03313859594121,1.8019148898117205
22,I300,22,AB,2,0,0.087503995373845109,0.67880855808034535,0.74551762478727079,6.3947488043803249,1.9762225588086979,0.004553971044956146,4.3641036660564358,21.325574542231237
23,I300,23,AB,2,1,0.053052818775177008,0.69036071961745615,0.74551762478727079,6.3947488043803249,1.9762225588086979,0.004553971044956146,4.3641036660564358,21.325574542231237
24,I300,24,AB,2,2,0.053052818775177008,0.67880855808034535,0.55198049421581818,6.3947488043803249,1.9762225588086979,0.004553971044956146,4.3641036660564358,21.325574542231237
25,I300,25,AB,2,3,0.053052818775177008,0.67880855808034535,0.74551762478727079,16.400325001192666,1.9762225588086979,0.004553971044956146,4.3641036660564358,21.325574542231237
26,I300,26,AB,2,4,0.053052818775177008,0.67880855808034535,0.74551762478727079,6.3947488043803249,2.2575810426051577,0.004553971044956146,4.3641036660564358,21.325574542231237
27,I300,27,AB,2,5,0.053052818775177008,0.67880855808034535,0.74551762478727079,6.3947488043803249,1.9762225588086979,7.6762062080087918e-05,4.3641036660564358,21.325574542231237
28,I300,28,AB,2,6,0.053052818775177008,0.67880855808034535,0.74551762478727079,6.3947488043803249,1.9762225588086979,0.004553971044956146,45.03313859594121,21.325574542231237
